name,city,lon,lat,id
Karlsplatz (Stachus),München,48.1394,11.5654,0
Marienplatz,München,48.1364,11.5777,1
Isartor,München,48.1339,11.5828,2
Rosenheimer Platz,München,48.1286,11.5939,3
Ostbahnhof,München,48.1281,11.6041,4
Hauptbahnhof,München,48.1403,11.5611,5
Hackerbrücke,München,48.1435,11.5488,6
Donnersbergerbrücke,München,48.1427,11.5346,7
Laim,München,48.1431,11.5032,8
Pasing,München,48.1488,11.4606,9
Leonrodplatz,München,48.1595,11.5474,10
Hochschule München (Lothstr.),München,48.1543,11.5538,11
Sandstraße,München,48.1506,11.5581,12
Karlstraße,München,48.1448,11.5596,13
Lenbachplatz,München,48.1409,11.5683,14
Nationaltheater,München,48.1394,11.5786,15
Kammerspiele,München,48.1385,11.5831,16
Maxmonument,München,48.1376,11.5881,17
Marienplatz (Theatinerstr.),München,48.1395,11.5753,18
Theatinerstraße,München,48.1395,11.5753,19
Maximilianeum,München,48.1361,11.596,20
Flurstraße,München,48.1356,11.6048,21
Grillparzerstraße,München,48.1363,11.6091,22
Alter Messeplatz,München,48.1346,11.5463,23
Isartor/Zweibrückenstraße,München,48.1328,11.5836,24
Ridlerstraße,München,48.1307,11.5392,25
Landshuter Allee,München,48.1517,11.5369,26
Poccistraße,München,48.1251,11.5496,27
Hirschgarten,München,48.1435,11.5195,28
Hochschule München,München,48.1554,11.5533,29
Nordbad,München,48.1609,11.5634,30
Görresstraße,München,48.156,11.5622,31
Georgenstraße,München,48.1552,11.5835,32
Müllerstraße,München,48.1314,11.5715,33
Goetheplatz,München,48.1295,11.5584,34
Eduard-Schmid-Straße,München,48.1263,11.5784,35
Mariahilfplatz,München,48.1244,11.5811,36
Kurfürstenplatz,München,48.1603,11.575,37
Winzererstraße,München,48.1577,11.5601,38
Infanteriestraße Süd,München,48.1565,11.5589,39
Haidenauplatz,München,48.1324,11.6101,40
Elisabethplatz,München,48.1576,11.575,41
Nordendstraße,München,48.1549,11.5754,42
Schellingstraße,München,48.151,11.5733,43
Sendlinger Tor,München,48.1333,11.5664,44
Pinakotheken,München,48.148,11.5713,45
Karolinenplatz,München,48.1454,11.5696,46
Ottostraße,München,48.1423,11.5678,47
Donnersbergerstraße,München,48.1463,11.5359,48
Hermann-Lingg-Straße,München,48.139,11.5516,49
Georg-Hirth-Platz,München,48.1346,11.556,50
Beethovenplatz,München,48.1331,11.558,51
Kapuzinerplatz/ Arbeitsagentur,München,48.1268,11.5584,52
Kapuzinerstraße,München,48.1251,11.5619,53
Odeonsplatz,München,48.1429,11.5777,54
Baldeplatz,München,48.1234,11.5671,55
Claude-Lorrain-Straße,München,48.1211,11.5714,56
Humboldtstraße,München,48.1195,11.5753,57
Barthstraße,München,48.1403,11.5302,58
Trappentreustraße,München,48.14,11.5344,59
Schrenkstraße,München,48.1396,11.5413,60
Holzapfelstraße,München,48.1392,11.5471,61
Reichenbachplatz,München,48.1333,11.5766,62
Deutsches Museum,München,48.1319,11.5861,63
Universität,München,48.149,11.5805,64
Am Gasteig,München,48.1328,11.5916,65
Wiener Platz,München,48.1341,11.5958,66
Friedensengel/Villa Stuck,München,48.1407,11.6001,67
Holbeinstraße,München,48.1432,11.6013,68
Sternwartstraße,München,48.1461,11.6033,69
Herkomerplatz,München,48.1509,11.6089,70
Mauerkircherstraße,München,48.1488,11.6008,71
Tivolistraße,München,48.1501,11.5966,72
Paradiesstraße,München,48.1463,11.593,73
Giselastraße,München,48.1571,11.5849,74
Nationalmuseum/Haus d.Kunst,München,48.1431,11.5885,75
Astallerstraße,München,48.1355,11.5305,76
Tumblingerstraße,München,48.1233,11.5538,77
Mariannenplatz,München,48.1352,11.5867,78
Kazmairstraße,München,48.135,11.534,79
Maxvorstadt/Sammlg. Brandhorst,München,48.1484,11.5743,80
Bergmannstraße,München,48.1349,11.5374,81
Wörthstraße,München,48.1321,11.5979,82
Orleansstraße,München,48.1253,11.5995,83
Holzkirchner Bahnhof,München,48.1392,11.5559,84
Bundesfinanzhof,München,48.1482,11.6055,85
Kustermannpark,München,48.1242,11.6013,86
Tal,München,48.136,11.5794,87
Technische Universität,München,48.1483,11.5654,88
Klenzestraße,München,48.1253,11.5707,89
Amalienstraße,München,48.1478,11.5764,90
Hauptbahnhof (Gl. 5-36),München,48.1412,11.5589,91
Hans-Fischer-Straße,München,48.1274,11.5447,92
Gollierplatz,München,48.1363,11.5343,93
Schlörstraße,München,48.1499,11.5368,94
Albrechtstraße,München,48.1557,11.5404,95
Fasaneriestraße,München,48.1573,11.5435,96
Infanteriestraße,München,48.1615,11.5537,97
Barbarastraße,München,48.1614,11.5574,98
Hohenzollernstraße,München,48.1592,11.5853,99
Friedrichstraße,München,48.1599,11.5806,100
Königsplatz,München,48.1462,11.564,101
Regerplatz,München,48.1249,11.589,102
Viktualienmarkt,München,48.1351,11.5749,103
Blumenstraße,München,48.1332,11.574,104
Gärtnerplatztheater,München,48.1322,11.5752,105
Baaderstraße,München,48.13,11.5784,106
Schweigerstraße,München,48.1267,11.583,107
Taubenstraße,München,48.1219,11.5789,108
Kirchenstraße,München,48.1331,11.605,109
Boschbrücke,München,48.131,11.5824,110
Theresienstraße,München,48.1512,11.5643,111
Reitmorstraße/Sammlung Schack,München,48.142,11.5937,112
Ludwigsbrücke,München,48.1327,11.5853,113
Königinstraße,München,48.1438,11.585,114
Von-der-Tann-Straße,München,48.1453,11.5788,115
Türkenstraße,München,48.1503,11.576,116
Arcisstraße,München,48.1518,11.5707,117
Luisenstraße,München,48.1525,11.5681,118
Augustenstraße,München,48.1531,11.5659,119
Roecklplatz,München,48.1207,11.5616,120
Josephsplatz,München,48.1548,11.5663,121
St.-Jakobs-Platz,München,48.1353,11.5726,122
Hirschauer Straße,München,48.1506,11.5953,123
Galileiplatz,München,48.1442,11.6066,124
Wehrlestraße,München,48.1482,11.6081,125
Chinesischer Turm,München,48.1528,11.5934,126
Thiemestraße,München,48.1566,11.5887,127
Am Tucherpark,München,48.1528,11.5991,128
Schwester-Eubulina-Platz,München,48.1235,11.5932,129
Auerfeldstraße,München,48.1236,11.5962,130
Hohenzollernplatz,München,48.1612,11.568,131
Stephansplatz,München,48.1308,11.5658,132
Maistraße,München,48.1294,11.5621,133
Waltherstraße,München,48.1275,11.5638,134
Zenettistraße,München,48.1225,11.5591,135
ZOB,München,48.1424,11.5499,136
Ehrengutstraße,München,48.1214,11.5573,137
Fraunhoferstraße,München,48.1279,11.5762,138
Corneliusbrücke,München,48.1293,11.5793,139
Aurbacherstraße,München,48.1224,11.5903,140
Dom-Pedro-Straße,München,48.1597,11.5375,141
Elisenstraße,München,48.1424,11.5616,142
Nymphenburg Süd,München,48.1463,11.5024,143
Hubertusbrunnen,München,48.1592,11.5301,144
Kolumbusplatz (Nord),München,48.1206,11.5766,145
Kolumbusplatz,München,48.1191,11.5765,146
St.-Cajetan-Straße,München,48.1214,11.599,147
Kolumbusplatz/Humboldtstraße,München,48.1192,11.5758,148
Volkartstraße Ost,München,48.1563,11.5375,149
Hanebergstraße,München,48.1626,11.5374,150
Marienplatz (Rindermarkt),München,48.1356,11.5737,151
Marienplatz Süd,München,48.1356,11.5737,152
Stiglmaierplatz,München,48.1471,11.5588,153
Maillingerstraße,München,48.1503,11.5446,154
Gaiglstraße,München,48.1524,11.5505,155
Rotkreuzplatz,München,48.153,11.5335,156
Oskar-von-Miller-Ring,München,48.1454,11.5755,157
Westfriedhof,München,48.1693,11.5284,158
Dantebad,München,48.1665,11.5275,159
Klugstraße,München,48.1642,11.529,160
St.-Galler-Straße,München,48.1597,11.5304,161
Neuhausen,München,48.1564,11.5314,162
Volkartstraße,München,48.1551,11.5326,163
Sadelerstraße,München,48.1686,11.5224,164
Winthirplatz,München,48.1519,11.5279,165
Dankwartstraße,München,48.1514,11.5237,166
Amalienburgstraße,München,48.1656,11.4932,167
Botanischer Garten,München,48.1645,11.5026,168
Maria-Ward-Straße,München,48.1637,11.507,169
Dall'Armistraße,München,48.1614,11.5113,170
Schloss Nymphenburg,München,48.1585,11.5115,171
Romanplatz,München,48.1556,11.5116,172
Steubenplatz,München,48.1501,11.5203,173
Briefzentrum,München,48.149,11.5244,174
Burghausener Straße,München,48.1473,11.5296,175
Kriemhildenstraße,München,48.1522,11.5154,176
Renatastraße,München,48.1566,11.5266,177
Hubertusstraße,München,48.156,11.5199,178
Marsstraße,München,48.145,11.5419,179
Deroystraße,München,48.1442,11.5454,180
Mettenstraße,München,48.1682,11.5145,181
Herthastraße,München,48.1493,11.5033,182
Kemnatenstraße,München,48.1513,11.5042,183
Hirschgartenallee,München,48.1529,11.5081,184
Nederlinger Straße,München,48.17,11.5107,185
Netzerstraße,München,48.1761,11.507,186
Skagerrakstraße,München,48.1727,11.5045,187
Baubergerstraße,München,48.1771,11.506,188
Hopfenstraße,München,48.1424,11.5544,189
Amphionpark,München,48.1734,11.5151,190
Schragenhofstraße,München,48.1725,11.5022,191
Lustheimstraße,München,48.1638,11.486,192
In den Kirschen,München,48.1672,11.5095,193
Bunzlauer Platz,München,48.1792,11.5071,194
Winfriedstraße,München,48.1474,11.5033,195
Nederlinger Straße (West),München,48.1707,11.5089,196
Theresienwiese,München,48.1357,11.5522,197
Schwanthalerhöhe,München,48.1335,11.5397,198
Theresienhöhe,München,48.1326,11.546,199
Westendstraße,München,48.1344,11.5227,200
Friedenheimer Straße,München,48.1351,11.5114,201
Laimer Platz,München,48.1355,11.503,202
Stadtwerke München,München,48.1712,11.5306,203
Olympiasee,München,48.1715,11.546,204
Sapporobogen,München,48.1694,11.5376,205
Angererstraße,München,48.1675,11.5705,206
Georg-Birk-Straße,München,48.164,11.557,207
Ackermannbogen,München,48.165,11.5562,208
Olympiapark Süd,München,48.1623,11.5519,209
Deidesheimer Straße,München,48.1686,11.5594,210
Margarete-Steiff-Straße,München,48.1802,11.5,211
Moosach,München,48.1804,11.5074,212
Pelkovenstraße,München,48.1811,11.5115,213
Hugo-Troendle-Straße,München,48.1793,11.5148,214
Wintrichring,München,48.1758,11.522,215
Hanauer Straße,München,48.1725,11.5282,216
Borstei,München,48.1697,11.533,217
Olympiapark West,München,48.1659,11.5379,218
