ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3598,0.27484268,0.2264151,0.12264151,0.6509434,0
3599,0.27484268,0.4481132,0.24528302,1.3066038,0
3600,0.27539298,0.6698113,0.36792454,1.9622642,6.8537736
3601,0.27531436,0.8962264,0.49056605,2.6132076,16.54717
3602,0.2750785,1.1226416,0.6132075,3.2641509,16.54717
3603,0.27586466,1.3537736,0.7358491,3.9103773,31.198112
3604,0.27492127,1.5849056,0.8632075,4.5518866,31.198112
3605,0.2775156,1.8254716,0.9811321,5.193396,52.226414
3606,0.27531433,2.0801888,1.1037736,5.8160377,76.754715
3607,0.2726414,2.3160377,1.226415,6.457547,76.754715
3608,0.27672943,2.54717,1.3490566,7.1037736,83.60849
3609,0.27672943,2.778302,1.4716982,7.75,83.60849
3610,0.27680802,3.018868,1.5896226,8.391509,116.504715
3611,0.2752357,3.2547169,1.7075472,9.037736,116.504715
3612,0.27586466,3.490566,1.8254716,9.683962,122.636795
3613,0.27444956,3.740566,1.9433962,10.316038,140.6368
3614,0.2745282,3.9952831,2.0613208,10.943397,149.30661
3615,0.27492127,4.254717,2.1792452,11.566038,176.75
3616,0.2745282,4.5094337,2.2924528,12.198113,185.94812
3617,0.27437094,4.768868,2.4056604,12.825472,203.70755
3618,0.27389926,5.033019,2.518868,13.448113,215.9717
3619,0.27484265,5.306604,2.6320755,14.06132,246.59906
3620,0.27492127,5.5660377,2.7452831,14.68868,246.59906
3621,0.2765722,5.8301888,2.8584905,15.31132,270.07074
3622,0.27610052,6.075472,2.971698,15.95283,270.07074
3623,0.27672943,6.325472,3.0849056,16.589622,275.5566
3624,0.2769653,6.561321,3.1981132,17.240566,281.8113
3625,0.27672943,6.7971697,3.3113208,17.89151,299.25473
3626,0.27523574,7.023585,3.4245284,18.551888,299.25473
3627,0.27570742,7.2594337,3.537736,19.20283,315.79718
3628,0.27421373,7.495283,3.6509433,19.853773,324.46698
3629,0.27382064,7.735849,3.7641509,20.5,338.45282
3630,0.2732703,7.976415,3.8773584,21.146227,338.45282
3631,0.2732703,8.216981,3.990566,21.792454,338.45282
3632,0.27342755,8.45283,4.1037736,22.443396,343.3585
3633,0.2745282,8.70283,4.216981,23.080189,363.92926
3634,0.27334896,8.948113,4.3301888,23.721699,370.78302
3635,0.27374202,9.18868,4.443396,24.367924,379.98114
3636,0.27547157,9.433962,4.556604,25.009434,386.38208
3637,0.2764936,9.68868,4.6792455,25.632076,399.36792
3638,0.27539295,9.93868,4.8018866,26.259434,404.2736
3639,0.27547157,10.18868,4.924528,26.886793,412.9434
3640,0.27437094,10.448113,5.0471697,27.504717,431.33963
3641,0.27429232,10.712264,5.1698112,28.117924,443.60376
3642,0.2731131,10.976415,5.292453,28.731133,456.24527
3643,0.27272,11.235849,5.4150944,29.349056,456.24527
3644,0.27287725,11.504717,5.537736,29.957546,474.6415
3645,0.27279866,11.773585,5.6603775,30.566038,487.62735
3646,0.27224833,12.04717,5.783019,31.169811,493.28302
3647,0.27185524,12.306603,5.90566,31.787735,493.28302
3648,0.2735848,12.566038,6.0283017,32.40566,513.1226
3649,0.27342758,12.830189,6.1509433,33.018867,525.76416
3650,0.27334896,13.094339,6.268868,33.63679,534.43396
3651,0.2711477,13.367925,6.3867927,34.24528,557.7547
3652,0.2705974,13.627358,6.504717,34.867924,557.7547
3653,0.27075464,13.891509,6.6226416,35.485847,563.8868
3654,0.2691823,14.155661,6.7405663,36.103775,573.5802
3655,0.2687106,14.4103775,6.8584905,36.731133,580.43396
3656,0.2682389,14.674528,6.976415,37.349056,606.17926
3657,0.26933953,14.933962,7.09434,37.9717,631.8302
3658,0.26981124,15.193397,7.212264,38.59434,637.9623
3659,0.27177662,15.45283,7.3301888,39.21698,658.5283
3660,0.27122632,15.716981,7.4481134,39.834908,672.23584
3661,0.2710691,15.976415,7.5660377,40.457546,688.06134
3662,0.27067602,16.23585,7.6839623,41.08019,688.06134
3663,0.27083325,16.490566,7.8018866,41.707546,706.4575
3664,0.26981124,16.745283,7.9198112,42.334908,706.4575
3665,0.2709905,17.009434,8.028302,42.962265,727.75
3666,0.26894647,17.278301,8.136792,43.584908,747.59436
3667,0.26973262,17.537735,8.245283,44.21698,756.26416
3668,0.2705188,17.801888,8.349056,44.849056,764.93396
3669,0.27036157,18.061321,8.45283,45.485847,771.7877
3670,0.2729559,18.330189,8.556603,46.11321,796.81134
3671,0.2725628,18.599056,8.6603775,46.740566,811.00946
3672,0.27216974,18.87264,8.764151,47.36321,823.27356
3673,0.27287728,19.150944,8.867925,47.981133,830.1274
3674,0.27232698,19.433962,8.971698,48.59434,847.467
3675,0.27358484,19.70283,9.075472,49.2217,847.467
3676,0.274371,19.971699,9.183962,49.84434,858.52356
3677,0.27405655,20.23585,9.292453,50.4717,858.52356
3678,0.274371,20.5,9.400944,51.099056,870.7877
3679,0.27350622,20.759434,9.509434,51.731133,880.48114
3680,0.2757861,21.018867,9.617925,52.36321,887.3349
3681,0.27610055,21.278301,9.726415,52.99528,893.467
3682,0.27594334,21.533018,9.834906,53.632076,902.6651
3683,0.27657226,21.792454,9.943397,54.264153,930.72644
3684,0.27617916,22.04717,10.051887,54.900944,930.72644
3685,0.27617916,22.306604,10.1603775,55.53302,937.5802
3686,0.27586472,22.561321,10.2688675,56.16981,946.7783
3687,0.2761792,22.806604,10.377358,56.816036,946.7783
3688,0.2768081,23.051888,10.485849,57.462265,955.4481
3689,0.27633643,23.29717,10.594339,58.10849,955.4481
3690,0.27641502,23.537735,10.70283,58.759434,970.3679
3691,0.27547166,23.783018,10.81132,59.40566,982.7075
3692,0.27334902,24.028301,10.919811,60.051888,987.6132
3693,0.27334902,24.268867,11.028302,60.70283,993.7453
3694,0.27389932,24.523584,11.136792,61.339622,1016.4245
3695,0.2714622,24.792454,11.245283,61.962265,1041.467
3696,0.2690251,25.056604,11.353773,62.589622,1041.467
3697,0.26965404,25.325472,11.471698,63.20283,1065.165
3698,0.26894647,25.584906,11.5896225,63.82547,1072.0189
3699,0.2676886,25.849056,11.707547,64.4434,1090.0566
