ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.6896,0.3104,0.6896,0
3600,0.6994,0.6162,1.3838,7.5556
3601,0.709,0.9238,2.0762,23.7346
3602,0.7206,1.2292,2.7708,41.0118
3603,0.723,1.5356,3.4644,46.8258
3604,0.733,1.8408,4.1592,64.9098
3605,0.7344,2.1476,4.8524,70.7598
3606,0.7344,2.4544,5.5456,70.7598
3607,0.749,2.762,6.238,113.233
3608,0.76,3.0718,6.9282,133.4406
3609,0.7622,3.3794,7.6206,133.4406
3610,0.7624,3.6868,8.3132,133.4406
3611,0.7648,3.9918,9.0082,133.4406
3612,0.7656,4.296,9.704,133.4406
3613,0.7724,4.5966,10.4034,141.7606
3614,0.7758,4.8948,11.1052,143.0606
3615,0.782,5.1868,11.8132,143.0606
3616,0.792,5.477,12.523,159.4496
3617,0.792,5.7682,13.2318,161.2876
3618,0.799,6.0624,13.9376,174.2876
3619,0.799,6.3566,14.6434,174.2876
3620,0.8002,6.651,15.349,178.0396
3621,0.807,6.9464,16.0536,188.6242
3622,0.807,7.2462,16.7538,194.3442
3623,0.8084,7.5446,17.4554,194.3442
3624,0.81,7.8472,18.1528,209.0462
3625,0.8144,8.1454,18.8546,209.0462
3626,0.8264,8.444,19.556,220.3302
3627,0.8264,8.7426,20.2574,220.3302
3628,0.8264,9.0412,20.9588,220.3302
3629,0.8332,9.3368,21.6632,228.1392
3630,0.846,9.6286,22.3714,244.0356
3631,0.846,9.9204,23.0796,244.0356
3632,0.8546,10.2154,23.7846,267.4468
3633,0.8584,10.509,24.491,269.9428
3634,0.864,10.8024,25.1976,279.868
3635,0.8676,11.097,25.903,289.228
3636,0.8676,11.3916,26.6084,289.228
3637,0.8806,11.6964,27.3036,325.7208
3638,0.8982,12.0028,27.9972,371.0688
3639,0.899,12.3104,28.6896,376.2688
3640,0.903,12.6188,29.3812,383.2432
3641,0.903,12.9272,30.0728,383.2432
3642,0.9178,13.2398,30.7602,410.8502
3643,0.9224,13.548,31.452,411.4316
3644,0.931,13.8536,32.1464,419.507
3645,0.931,14.1592,32.8408,419.507
3646,0.931,14.4648,33.5352,419.507
3647,0.9356,14.77,34.23,423.4802
3648,0.9556,15.0758,34.9242,461.035
3649,0.9632,15.38,35.62,468.988
3650,0.9632,15.6842,36.3158,468.988
3651,0.9672,15.9916,37.0084,483.784
3652,0.9878,16.2998,37.7002,515.8022
3653,0.989,16.6068,38.3932,515.8022
3654,0.989,16.9138,39.0862,515.8022
3655,0.9894,17.2204,39.7796,515.8022
3656,0.9916,17.5264,40.4736,519.9622
3657,0.9922,17.8318,41.1682,519.9622
3658,0.9934,18.1376,41.8624,521.6774
3659,1.002,18.4438,42.5562,532.1444
3660,1.0092,18.7456,43.2544,537.8984
3661,1.0356,19.057,43.943,589.7556
3662,1.0504,19.3704,44.6296,620.314
3663,1.052,19.6822,45.3178,620.314
3664,1.0522,19.9938,46.0062,620.314
3665,1.0606,20.3014,46.6986,626.7072
3666,1.0606,20.609,47.391,626.7072
3667,1.0742,20.919,48.081,652.1638
3668,1.0818,21.2274,48.7726,664.4938
3669,1.0818,21.5358,49.4642,664.4938
3670,1.0878,21.8472,50.1528,676.1938
3671,1.0904,22.1584,50.8416,679.3138
3672,1.0916,22.4694,51.5306,683.4248
3673,1.1026,22.78,52.22,701.5216
3674,1.1026,23.0906,52.9094,701.5216
3675,1.1084,23.401,53.599,709.6584
3676,1.1138,23.7108,54.2892,718.4808
3677,1.1138,24.0206,54.9794,718.4808
3678,1.1138,24.3304,55.6696,718.4808
3679,1.114,24.64,56.36,718.4808
3680,1.1154,24.9494,57.0506,720.0408
3681,1.122,25.2588,57.7412,726.0468
3682,1.1236,25.5678,58.4322,728.4348
3683,1.1236,25.8768,59.1232,728.4348
3684,1.1306,26.1866,59.8134,742.7712
3685,1.1332,26.4938,60.5062,742.7712
3686,1.1368,26.7974,61.2026,742.7712
3687,1.1374,27.1004,61.8996,742.7712
3688,1.1374,27.4034,62.5966,742.7712
3689,1.1554,27.7018,63.2982,769.6992
3690,1.1554,28.0002,63.9998,769.6992
3691,1.1556,28.2984,64.7016,769.6992
3692,1.1558,28.5964,65.4036,769.6992
3693,1.166,28.8948,66.1052,782.027
3694,1.1742,29.2022,66.7978,808.2506
3695,1.1756,29.5092,67.4908,810.8506
3696,1.176,29.8158,68.1842,810.8506
3697,1.176,30.1224,68.8776,810.8506
3698,1.1784,30.4288,69.5712,814.8942
3699,1.1816,30.7456,70.2544,850.2542
3700,1.182,31.062,70.938,850.2542
3701,1.1824,31.378,71.622,850.2542
3702,1.1908,31.6952,72.3048,864.203
3703,1.194,32.0102,72.9898,866.258
3704,1.1962,32.3246,73.6754,868.5828
3705,1.198,32.6372,74.3628,868.5828
3706,1.1986,32.9492,75.0508,868.5828
3707,1.1988,33.261,75.739,868.5828
3708,1.2206,33.5728,76.4272,916.4024
3709,1.2216,33.8836,77.1164,916.4024
3710,1.2224,34.1936,77.8064,916.4024
